iter	Logloss
0	0.6928813762
1	0.6927705684
2	0.6925971801
3	0.6922455935
4	0.6921065986
5	0.6919532647
6	0.6917604238
7	0.6914900993
8	0.6913674357
9	0.6912118273
10	0.6909499099
11	0.6908325175
12	0.6905856299
13	0.6903327674
14	0.6901495654
15	0.6899851009
16	0.689805002
17	0.6896438315
18	0.6894644175
19	0.6893579758
20	0.6892922886
21	0.6891095639
22	0.6889441399
23	0.6888966863
24	0.6887419932
25	0.6886235566
26	0.6884747749
27	0.6883228153
28	0.688067851
29	0.6879232525
30	0.6876759838
31	0.6875918587
32	0.6874656612
33	0.6873087217
34	0.6871237069
35	0.6869757717
36	0.6868291181
37	0.6867156963
38	0.686571403
39	0.6864704558
40	0.6863497381
41	0.6862397246
42	0.6859510082
43	0.6858363546
44	0.6855842458
45	0.6854340555
46	0.6852941722
47	0.6851449425
48	0.6850428887
49	0.6848561421
50	0.6845848016
51	0.6844226892
52	0.6843131013
53	0.6842112438
54	0.6840723621
55	0.6839852128
56	0.6837811598
57	0.6836023572
58	0.6835238284
59	0.6833452052
60	0.6831353933
61	0.6829558136
62	0.6827519777
63	0.6826025139
64	0.6824474282
65	0.6822112413
66	0.6820719868
67	0.6818904516
68	0.6818180028
69	0.681679262
70	0.6815709723
71	0.681290941
72	0.681085327
73	0.6808785482
74	0.6807458838
75	0.6806092224
76	0.6805341354
77	0.6802799994
78	0.6801452075
79	0.6799885087
80	0.6798814015
81	0.6797575743
82	0.679654775
83	0.6795704853
84	0.6794271274
85	0.6792394004
86	0.6791521743
87	0.6790378211
88	0.6788650462
89	0.6787676444
90	0.6785299664
91	0.6784151028
92	0.6783052451
93	0.6781839108
94	0.6780728173
95	0.6778939225
96	0.6777267347
97	0.6776418466
98	0.6774645732
99	0.6773457516
100	0.6772239848
101	0.6771305672
102	0.6769795653
103	0.6767967175
104	0.6766538948
105	0.6764472172
106	0.6762686407
107	0.6761461684
108	0.6759860643
109	0.6757604502
110	0.675669165
111	0.6755053743
112	0.6753498571
113	0.6752725754
114	0.6750365461
115	0.6749116988
116	0.674781043
117	0.6746396213
118	0.6744671803
119	0.674325657
120	0.6742081932
121	0.6741158781
122	0.6740179337
123	0.6738082214
124	0.6737089871
125	0.6735671667
126	0.6734045366
127	0.6733722294
128	0.6733095879
129	0.6732068875
130	0.6730879651
131	0.6729871979
132	0.6727685327
133	0.6726143164
134	0.6725360058
135	0.6724362691
136	0.6723756637
137	0.6722683745
138	0.6721582182
139	0.6719563025
140	0.6717853603
141	0.6717031276
142	0.6715383504
143	0.6714334822
144	0.6712567829
145	0.6711694978
146	0.6711064928
147	0.6710450426
148	0.6709995306
149	0.6709483541
150	0.6708624641
151	0.6706881852
152	0.6705949593
153	0.6704783294
154	0.6703158421
155	0.670221545
156	0.6700858751
157	0.6699566438
158	0.6698952551
159	0.6698089935
160	0.6696558171
161	0.6695847448
162	0.6693364214
163	0.6691797984
164	0.6690823532
165	0.6689134698
166	0.6688364554
167	0.6686552727
168	0.6685990561
169	0.6685967999
170	0.6685480334
171	0.6684578575
172	0.668339763
173	0.6682208795
174	0.6681028404
175	0.667965681
176	0.6678856254
177	0.667794658
178	0.6677252781
179	0.6676019745
180	0.6675230521
181	0.6674291671
182	0.6672993569
183	0.6671821038
184	0.6670561823
185	0.6669913125
186	0.6669167408
187	0.6668515394
188	0.6667220162
189	0.6666120767
190	0.6664567035
191	0.6663726434
192	0.6662914224
193	0.6661740095
194	0.6660529216
195	0.6659565228
196	0.6658462719
197	0.6657833717
198	0.6656402926
199	0.6654518232
200	0.6653489792
201	0.6652424683
202	0.6651288387
203	0.6649545537
204	0.6648760552
205	0.664747628
206	0.6646900544
207	0.6646357749
208	0.6645287935
209	0.6643522952
210	0.6642867185
211	0.664195321
212	0.6640450386
213	0.6639689398
214	0.6638775353
215	0.6638321369
216	0.6637643901
217	0.6637023278
218	0.6635913011
219	0.6634753576
220	0.6634014965
221	0.6632969382
222	0.6631727915
223	0.6631256538
224	0.6630035776
225	0.6629278487
226	0.6628845016
227	0.6628045977
228	0.6627338264
229	0.6626049676
230	0.6624874762
231	0.6624023551
232	0.6623000568
233	0.6621571588
234	0.6620831436
235	0.6620481338
236	0.6619658571
237	0.6618816897
238	0.6617049279
239	0.6616285733
240	0.6614885346
241	0.6614642929
242	0.6613863502
243	0.6613087341
244	0.6612515177
245	0.6611452681
246	0.6610199446
247	0.6609045425
248	0.6607958095
249	0.6607277157
250	0.6606118727
251	0.6605497883
252	0.6604913238
253	0.6604120247
254	0.6603301416
255	0.6602117831
256	0.6600655237
257	0.659980612
258	0.6599115781
259	0.6598449489
260	0.6597648618
261	0.6596656338
262	0.6595835164
263	0.6594721441
264	0.6593112923
265	0.659267603
266	0.6592159433
267	0.6591083452
268	0.6590749423
269	0.6589959542
270	0.6589005933
271	0.658876613
272	0.6588015218
273	0.6587079641
274	0.658675387
275	0.6585594005
276	0.6584995091
277	0.6584066709
278	0.6583090334
279	0.6581861269
280	0.6581019615
281	0.65804852
282	0.6579546998
283	0.657855023
284	0.6577164641
285	0.657642921
286	0.6575528485
287	0.6574618776
288	0.657314761
289	0.657207417
290	0.6570827416
291	0.6570805508
292	0.6569698428
293	0.6569242297
294	0.6568222231
295	0.6567737521
296	0.6566820688
297	0.6566306963
298	0.6565289163
299	0.6564283715
300	0.6563825594
301	0.6562322953
302	0.656110587
303	0.6560004418
304	0.6559111442
305	0.6559111666
306	0.6558563705
307	0.6557820481
308	0.6557026149
309	0.655587157
310	0.6554800571
311	0.6554036732
312	0.6553150878
313	0.6552289288
314	0.6551125375
315	0.6550528612
316	0.6549986765
317	0.654881015
318	0.6548192043
319	0.6547097735
320	0.6545751383
321	0.6545016783
322	0.6544042973
323	0.6543673179
324	0.6542927477
325	0.6542482113
326	0.6542039034
327	0.6540639019
328	0.6538708026
329	0.6537917647
330	0.6537091256
331	0.6536589121
332	0.6535602797
333	0.6535005487
334	0.6534109431
335	0.6533329026
336	0.6531947152
337	0.6530412041
338	0.6529501117
339	0.6528444022
340	0.6527567171
341	0.6526753551
342	0.6526239765
343	0.652478045
344	0.6523240742
345	0.6521893894
346	0.6520842527
347	0.6520330575
348	0.6519834798
349	0.6518428081
350	0.6517073039
351	0.6516040688
352	0.6515031768
353	0.6513973568
354	0.651278663
355	0.6512368762
356	0.6511093432
357	0.6510329226
358	0.6508837447
359	0.6507842001
360	0.6507174709
361	0.650640263
362	0.6505656674
363	0.650504538
364	0.6504365248
365	0.6502783578
366	0.6501411924
367	0.6501001198
368	0.6500519265
369	0.649898024
370	0.6498355148
371	0.6497782806
372	0.6496639327
373	0.6495923372
374	0.6495199254
375	0.6494821272
376	0.649405755
377	0.6492798659
378	0.649197004
379	0.6491406129
380	0.6490583347
381	0.648981716
382	0.6488443636
383	0.6487312852
384	0.6485826
385	0.6485108434
386	0.6484226819
387	0.6484031156
388	0.6483066563
389	0.6482508564
390	0.6481457704
391	0.6480298032
392	0.6479658454
393	0.6478794691
394	0.6477774282
395	0.647670539
396	0.6475312039
397	0.6474218488
398	0.647362138
399	0.6472711118
400	0.6471258649
401	0.6470334762
402	0.6470192304
403	0.6469025512
404	0.6468155466
405	0.6466898271
406	0.6465834701
407	0.6464857115
408	0.6463780895
409	0.6462388182
410	0.6461181037
411	0.6460125399
412	0.6458767396
413	0.6457928059
414	0.6457080924
415	0.645617138
416	0.6455334881
417	0.6454711046
418	0.6453626044
419	0.645308594
420	0.6451927692
421	0.6451016287
422	0.6449661868
423	0.644866127
424	0.6447896317
425	0.6447126428
426	0.6446496806
427	0.6445599823
428	0.644486129
429	0.6443782472
430	0.6443037051
431	0.6441554195
432	0.6440947458
433	0.6439528917
434	0.6438918787
435	0.6438308794
436	0.6437270892
437	0.6436544281
438	0.6435214201
439	0.6434448977
440	0.6433579104
441	0.6431948082
442	0.6431344932
443	0.6430528126
444	0.6429968012
445	0.642861806
446	0.6427939774
447	0.6427363547
448	0.6425794491
449	0.6424987426
450	0.6424080589
451	0.6422963944
452	0.642175415
453	0.642050619
454	0.6418774465
455	0.6417544679
456	0.6416362703
457	0.6415294714
458	0.6414061291
459	0.6413244024
460	0.6412004657
461	0.6410947682
462	0.6409739614
463	0.6408636114
464	0.6407522756
465	0.6406546622
466	0.6405507114
467	0.6403399735
468	0.6402696947
469	0.6401570267
470	0.6400653003
471	0.6399097238
472	0.639842285
473	0.639799426
474	0.6397163901
475	0.6396276094
476	0.6394969199
477	0.6394128913
478	0.6392412702
479	0.6391334379
480	0.6390480382
481	0.6389413084
482	0.6388329704
483	0.6387424616
484	0.6386683644
485	0.6385485944
486	0.6384503416
487	0.638260197
488	0.6381927172
489	0.6380962012
490	0.6379909251
491	0.6378474539
492	0.6377359495
493	0.6376286944
494	0.6375168861
495	0.6374096027
496	0.6373206452
497	0.6371775996
498	0.6370771129
499	0.6369397389
500	0.6368328637
501	0.6367415009
502	0.6366775186
503	0.6365143976
504	0.6363644397
505	0.6362721351
506	0.6361524848
507	0.6360488517
508	0.6358690577
509	0.6357704912
510	0.6357028739
511	0.6356091559
512	0.6354848954
513	0.6353332827
514	0.6351958501
515	0.6350798619
516	0.6349471676
517	0.6348462684
518	0.6347263289
519	0.6345859887
520	0.6344811509
521	0.6343743761
522	0.6342094082
523	0.6340919601
524	0.6339735031
525	0.6337635047
526	0.6337201733
527	0.63357504
528	0.6334555542
529	0.6333003155
530	0.6332287575
531	0.6331149041
532	0.6329386363
533	0.6328613311
534	0.6327629963
535	0.6326155973
536	0.6325550339
537	0.6324497074
538	0.6323765804
539	0.6322556835
540	0.6321161761
541	0.6319724116
542	0.631890329
543	0.6318086138
544	0.6317530605
545	0.6316490186
546	0.6315127343
547	0.6313655159
548	0.6312192706
549	0.6310263809
550	0.6309320378
551	0.6308050567
552	0.6306837863
553	0.630492781
554	0.6304097708
555	0.6302761415
556	0.6302110205
557	0.6301250977
558	0.6299860854
559	0.6299090389
560	0.6297831727
561	0.629679111
562	0.6295834329
563	0.6295367313
564	0.6294441722
565	0.6292933413
566	0.6291314013
567	0.6290189714
568	0.6289368531
569	0.6288462229
570	0.6287147421
571	0.6286351228
572	0.6284827572
573	0.6283897609
574	0.628287767
